episodes,sum_wins,avg_actor_loss,avg_critic_loss,avg_actor_grad_norm,avg_critic_grad_norm,avg_actor_learning_rate,avg_critic_learning_rate,avg_reward
65,1,-43.712943407954,44.103095541194996,10.687465176290395,436.74248893893497,9.028526310393292e-05,9.028526310393292e-05,0.09678655012106763
66,1,-42.38089705486687,46.17979028273602,20.400861085677633,599.0110635562819,8.997893574730061e-05,8.997893574730061e-05,0.19465261711138737
67,1,-43.27567135557837,42.488396625129546,12.199242567529483,524.0559966418208,8.966905891431627e-05,8.966905891431627e-05,1.0084564104299283
68,1,-42.41911261422293,43.485885853670084,13.119308858501668,404.46041107177734,8.935570603479561e-05,8.935570603479561e-05,2.078772728759266
69,1,-42.816661756865834,45.87706846120406,9.702799687580187,410.8109504544005,8.903895136225388e-05,8.903895136225388e-05,1.3067298681494315
70,1,-43.4979701139489,41.7852576508814,8.987684371520062,459.6049829599809,8.871886995631082e-05,8.871886995631082e-05,0.0
71,1,-43.44612736604652,40.864312386026185,9.462185849948805,291.9178459011778,8.839553766490383e-05,8.839553766490383e-05,1.3827207105949566
72,1,-42.98022990324059,41.76150989532471,5.049646718161447,275.185157620177,8.806903110631476e-05,8.806903110631476e-05,0.0
73,1,-43.21469061715262,39.09941899046606,5.260202996584834,343.90139350112605,8.773942765101431e-05,8.773942765101431e-05,1.866461997062058
74,1,-42.72858576871911,38.14119418786497,4.803264664143932,278.2109251995476,8.740680540332782e-05,8.740680540332782e-05,0.3044757037910446
75,1,-42.74153456395986,35.4334946651848,7.941849560153727,291.1820535465163,8.707124318292721e-05,8.707124318292721e-05,0.0
76,1,-42.490628767986685,40.84822175940689,4.436435347917128,358.6660919189453,8.673282050615371e-05,8.673282050615371e-05,0.0
77,1,-41.901198718012594,35.4965042775991,3.299239543019509,328.54739068478955,8.639161756717525e-05,8.639161756717525e-05,0.0
78,1,-42.49078960807956,36.973957995979156,3.0338757609834475,252.02567618233817,8.604771521898313e-05,8.604771521898313e-05,0.8541482591085071
79,1,-42.99175044468471,36.93323651138617,8.943732738494873,285.0885017550722,8.57011949542331e-05,8.57011949542331e-05,0.0
80,1,-42.64952531152842,35.479248825384644,5.843504420348576,228.33239543681242,8.535213888593401e-05,8.535213888593401e-05,0.0
81,1,-41.87990102962572,38.15311980734066,7.440193589852781,255.39307356853874,8.500062972799037e-05,8.500062972799037e-05,0.24862629812819945
82,1,-42.089254963154694,39.0253614892765,7.366248383813975,308.3537587535625,8.464675077560179e-05,8.464675077560179e-05,1.9953000230322129
83,1,-41.94729668753488,39.90253329763607,5.61962725921553,312.21174170046436,8.429058588552516e-05,8.429058588552516e-05,0.8257919300096532
